# Detections to demo association methods
# Lat 	Lon			Time					Back Az	F-stat	Array Dim
42.7668	-109.5939	2004-06-02T17:42:14.0	-125.6	43.0	4
38.4296	-118.3036	2004-06-02T17:50:38.0	56.6	80.6	4
48.2641	-117.1257	2004-06-02T18:09:14.0	157.5	21.8	4
33.6064	-116.4550	2004-06-02T18:18:17.0	17.6	65.8	4

38.4296	-118.3036	2004-06-02T18:09:51.0	-52.3	20.6	4
48.2641	-117.1257	2004-06-02T18:07:14.0	-136.1	41.8	4
42.7668	-109.5939	2004-06-02T18:34:09.0	-88.6	23.0	4

33.6064	-116.4550	2004-06-02T18:55:54.0	142.6	65.8	4
42.7668	-109.5939	2004-06-02T17:24:32.0	-71.2	22.1	4
38.4296	-118.3036	2004-06-02T18:13:11.0	-116.6	34.2	4
